Banda,R (ohm),N,Promedio (mV),s (mV),u_promedio (mV),u_inst (mV),u_total (mV)
1–3.3 kHz,1.0,5,-3.6,0.0,0.0,0.1,0.1
1–3.3 kHz,10.0,5,-3.5799999999999996,0.044721359549995836,0.020000000000000018,0.1,0.10198039027185571
1–3.3 kHz,100.0,5,-3.5200000000000005,0.044721359549995836,0.020000000000000018,0.1,0.10198039027185571
1–3.3 kHz,1000.0,5,-3.44,0.08944271909999167,0.040000000000000036,0.1,0.1077032961426901
1–3.3 kHz,10000.0,5,-2.2,0.07071067811865465,0.03162277660168375,0.1,0.10488088481701516
1–3.3 kHz,100000.0,5,10.1,0.12247448713915919,0.05477225575051674,0.1,0.11401754250991386
1–3.3 kHz,1000000.0,5,124.05999999999999,0.7056911505750969,0.3155946767611913,0.1,0.3310589071449382
1–10 kHz,1.0,5,-2.0,0.0,0.0,0.1,0.1
1–10 kHz,10.0,5,-2.0,0.0,0.0,0.1,0.1
1–10 kHz,100.0,5,-1.9,0.0,0.0,0.1,0.1
1–10 kHz,1000.0,5,-1.5,0.0,0.0,0.1,0.1
1–10 kHz,10000.0,5,3.2399999999999998,0.05477225575051642,0.024494897427831695,0.1,0.10295630140987
1–10 kHz,100000.0,5,50.6,0.2738612787525811,0.12247448713915803,0.1,0.1581138830084183
1–10 kHz,1000000.0,5,364.8,3.1144823004794873,1.3928388277184118,1.0,1.7146428199482244
1–33 kHz,1.0,5,3.4200000000000004,0.044721359549995836,0.020000000000000018,0.1,0.10198039027185571
1–33 kHz,10.0,5,3.4400000000000004,0.05477225575051666,0.024494897427831803,0.1,0.10295630140987003
1–33 kHz,100.0,5,3.84,0.11401754250991376,0.050990195135927834,0.1,0.11224972160321824
1–33 kHz,1000.0,5,5.4,0.07071067811865482,0.03162277660168382,0.1,0.10488088481701517
1–33 kHz,10000.0,5,22.740000000000002,0.05477225575051739,0.02449489742783213,0.1,0.1029563014098701
1–33 kHz,100000.0,5,184.08,0.21679483388678814,0.09695359714832665,0.1,0.13928388277184126
1–33 kHz,1000000.0,5,652.8,1.9235384061671343,0.8602325267042625,1.0,1.3190905958272918
1–100 kHz,1.0,5,19.8,0.0,0.0,0.1,0.1
1–100 kHz,10.0,5,19.84,0.05477225575051544,0.024494897427831255,0.1,0.10295630140986989
1–100 kHz,100.0,5,20.380000000000003,0.04472135954999484,0.01999999999999957,0.1,0.10198039027185563
1–100 kHz,1000.0,5,25.859999999999996,0.05477225575051545,0.024494897427831258,0.1,0.10295630140986989
1–100 kHz,10000.0,5,80.58,0.1303840481040521,0.05830951894845261,0.1,0.11575836902790207
1–100 kHz,100000.0,5,601.4,3.0495901363953815,1.3638181696985856,1.0,1.6911534525287764
1–100 kHz,1000000.0,5,985.4,5.224940191045253,2.3366642891095846,1.0,2.541653005427767
100 Hz–100 kHz,1.0,5,20.18,0.04472135954999484,0.01999999999999957,0.1,0.10198039027185563
100 Hz–100 kHz,10.0,5,20.28,0.04472135954999643,0.020000000000000285,0.1,0.10198039027185576
100 Hz–100 kHz,100.0,5,20.799999999999997,0.0707106781186545,0.03162277660168368,0.1,0.10488088481701513
100 Hz–100 kHz,1000.0,5,26.240000000000002,0.05477225575051739,0.02449489742783213,0.1,0.1029563014098701
100 Hz–100 kHz,10000.0,5,81.24,0.11401754250991666,0.050990195135929124,0.1,0.11224972160321883
100 Hz–100 kHz,100000.0,5,476.8,1.0954451150103321,0.48989794855663554,1.0,1.1135528725660044
100 Hz–100 kHz,1000000.0,5,978.2,6.572670690061994,2.939387691339814,1.0,3.104834939252005
30 Hz–100 kHz,1.0,5,20.220000000000002,0.04472135954999643,0.020000000000000285,0.1,0.10198039027185576
30 Hz–100 kHz,10.0,5,20.28,0.04472135954999643,0.020000000000000285,0.1,0.10198039027185576
30 Hz–100 kHz,100.0,5,20.82,0.04472135954999484,0.01999999999999957,0.1,0.10198039027185563
30 Hz–100 kHz,1000.0,5,26.28,0.04472135954999643,0.020000000000000285,0.1,0.10198039027185576
30 Hz–100 kHz,10000.0,5,81.36,0.11401754250991417,0.05099019513592801,0.1,0.11224972160321832
30 Hz–100 kHz,100000.0,5,477.6,0.5477225575051662,0.24494897427831783,1.0,1.0295630140987
30 Hz–100 kHz,1000000.0,5,981.2,7.155417527999327,3.1999999999999997,1.0,3.352610922848042
