Banda,R (ohm),u(R) (ohm),Vcorr (V),u(Vcorr) (V),Usado en ajuste
1–3.3 kHz,100.0,0.1,5.9999999999998856e-05,0.00014422205101855958,Si
1–3.3 kHz,1000.0,1.0,0.0001399999999999995,0.00014832396974191327,Si
1–3.3 kHz,10000.0,10.0,0.0013799999999999993,0.00014628738838327795,Si
1–3.3 kHz,100000.0,100.0,0.01368,0.0001529705854077836,Si
1–3.3 kHz,1000000.0,1000.0,0.12763999999999998,0.00034641016151377665,No
1–10 kHz,100.0,0.1,0.00010000000000000005,0.0001414213562373095,Si
1–10 kHz,1000.0,1.0,0.0005,0.0001414213562373095,Si
1–10 kHz,10000.0,10.0,0.00524,0.00014352700094407323,Si
1–10 kHz,100000.0,100.0,0.0526,0.0001870828693386965,Si
1–10 kHz,1000000.0,1000.0,0.3668,0.0017175564037317666,No
1–33 kHz,100.0,0.1,0.0003999999999999993,0.00015231546211727818,Si
1–33 kHz,1000.0,1.0,0.00196,0.00014696938456699071,Si
1–33 kHz,10000.0,10.0,0.019300000000000005,0.00014560219778561045,Si
1–33 kHz,100000.0,100.0,0.18064000000000002,0.00017320508075688778,Si
1–33 kHz,1000000.0,1000.0,0.6493599999999999,0.0013231024147812593,No
1–100 kHz,100.0,0.1,0.0005400000000000023,0.00014491376746189426,Si
1–100 kHz,1000.0,1.0,0.006019999999999998,0.0001456021977856102,Si
1–100 kHz,10000.0,10.0,0.06074,0.00015491933384829647,Si
1–100 kHz,100000.0,100.0,0.58156,0.001694284509756257,Si
1–100 kHz,1000000.0,1000.0,0.96556,0.0025437374078312405,No
100 Hz–100 kHz,100.0,0.1,0.0005199999999999962,0.00014628738838327798,Si
100 Hz–100 kHz,1000.0,1.0,0.0059600000000000035,0.0001449137674618945,Si
100 Hz–100 kHz,10000.0,10.0,0.06095999999999999,0.0001516575088810315,Si
100 Hz–100 kHz,100000.0,100.0,0.45652,0.001118212859879549,Si
100 Hz–100 kHz,1000000.0,1000.0,0.9579200000000001,0.003106509295012652,No
30 Hz–100 kHz,100.0,0.1,0.0005400000000000023,0.00014422205101855958,Si
30 Hz–100 kHz,1000.0,1.0,0.006000000000000002,0.00014422205101855966,Si
30 Hz–100 kHz,10000.0,10.0,0.06108,0.00015165750888103112,Si
30 Hz–100 kHz,100000.0,100.0,0.45732,0.001034601372510205,Si
30 Hz–100 kHz,1000000.0,1000.0,0.9609200000000001,0.003354161594199063,No
