V_sensor (mV),u(V_sensor) (mV),T (K),u(T) (K),Canal,Medicion,V_ruido (mV)
825,1.0,149.6,0.4,A,1,640.0
825,1.0,149.6,0.4,A,2,634.0
825,1.0,149.6,0.4,A,3,622.0
825,1.0,149.6,0.4,A,4,621.0
825,1.0,149.6,0.4,A,5,617.0
825,1.0,149.6,0.4,B,1,658.0
825,1.0,149.6,0.4,B,2,625.0
825,1.0,149.6,0.4,B,3,622.0
825,1.0,149.6,0.4,B,4,630.0
825,1.0,149.6,0.4,B,5,629.0
825,1.0,149.6,0.4,C,1,629.0
825,1.0,149.6,0.4,C,2,633.0
825,1.0,149.6,0.4,C,3,620.0
825,1.0,149.6,0.4,C,4,635.0
825,1.0,149.6,0.4,C,5,622.0
835,1.0,145.6,0.40000000000000036,A,1,153.0
835,1.0,145.6,0.40000000000000036,A,2,128.0
835,1.0,145.6,0.40000000000000036,A,3,128.0
835,1.0,145.6,0.40000000000000036,A,4,115.0
835,1.0,145.6,0.40000000000000036,A,5,110.0
835,1.0,145.6,0.40000000000000036,B,1,482.0
835,1.0,145.6,0.40000000000000036,B,2,478.0
835,1.0,145.6,0.40000000000000036,B,3,476.0
835,1.0,145.6,0.40000000000000036,B,4,488.0
835,1.0,145.6,0.40000000000000036,B,5,500.0
835,1.0,145.6,0.40000000000000036,C,1,579.0
835,1.0,145.6,0.40000000000000036,C,2,593.0
835,1.0,145.6,0.40000000000000036,C,3,607.0
835,1.0,145.6,0.40000000000000036,C,4,626.0
835,1.0,145.6,0.40000000000000036,C,5,637.0
845,1.0,141.6,0.40500000000000025,A,1,600.0
845,1.0,141.6,0.40500000000000025,A,2,607.0
845,1.0,141.6,0.40500000000000025,A,3,606.0
845,1.0,141.6,0.40500000000000025,A,4,617.0
845,1.0,141.6,0.40500000000000025,A,5,619.0
845,1.0,141.6,0.40500000000000025,B,1,640.0
845,1.0,141.6,0.40500000000000025,B,2,628.0
845,1.0,141.6,0.40500000000000025,B,3,622.0
845,1.0,141.6,0.40500000000000025,B,4,621.0
845,1.0,141.6,0.40500000000000025,B,5,633.0
845,1.0,141.6,0.40500000000000025,C,1,640.0
845,1.0,141.6,0.40500000000000025,C,2,635.0
845,1.0,141.6,0.40500000000000025,C,3,634.0
845,1.0,141.6,0.40500000000000025,C,4,641.0
845,1.0,141.6,0.40500000000000025,C,5,635.0
855,1.0,137.5,0.40999999999999925,A,1,417.0
855,1.0,137.5,0.40999999999999925,A,2,419.0
855,1.0,137.5,0.40999999999999925,A,3,424.0
855,1.0,137.5,0.40999999999999925,A,4,416.0
855,1.0,137.5,0.40999999999999925,A,5,418.0
855,1.0,137.5,0.40999999999999925,B,1,535.0
855,1.0,137.5,0.40999999999999925,B,2,553.0
855,1.0,137.5,0.40999999999999925,B,3,551.0
855,1.0,137.5,0.40999999999999925,B,4,579.0
855,1.0,137.5,0.40999999999999925,B,5,567.0
855,1.0,137.5,0.40999999999999925,C,1,642.0
855,1.0,137.5,0.40999999999999925,C,2,636.0
855,1.0,137.5,0.40999999999999925,C,3,636.0
855,1.0,137.5,0.40999999999999925,C,4,631.0
855,1.0,137.5,0.40999999999999925,C,5,637.0
865,1.0,133.4,0.40999999999999925,A,1,370.0
865,1.0,133.4,0.40999999999999925,A,2,357.0
865,1.0,133.4,0.40999999999999925,A,3,347.0
865,1.0,133.4,0.40999999999999925,A,4,378.0
865,1.0,133.4,0.40999999999999925,A,5,363.0
865,1.0,133.4,0.40999999999999925,B,1,497.0
865,1.0,133.4,0.40999999999999925,B,2,496.0
865,1.0,133.4,0.40999999999999925,B,3,498.0
865,1.0,133.4,0.40999999999999925,B,4,502.0
865,1.0,133.4,0.40999999999999925,B,5,519.0
865,1.0,133.4,0.40999999999999925,C,1,529.0
865,1.0,133.4,0.40999999999999925,C,2,537.0
865,1.0,133.4,0.40999999999999925,C,3,550.0
865,1.0,133.4,0.40999999999999925,C,4,559.0
865,1.0,133.4,0.40999999999999925,C,5,541.0
875,1.0,129.3,0.4100000000000006,A,1,250.0
875,1.0,129.3,0.4100000000000006,A,2,300.0
875,1.0,129.3,0.4100000000000006,A,3,283.0
875,1.0,129.3,0.4100000000000006,A,4,276.0
875,1.0,129.3,0.4100000000000006,A,5,273.0
875,1.0,129.3,0.4100000000000006,B,1,554.0
875,1.0,129.3,0.4100000000000006,B,2,543.0
875,1.0,129.3,0.4100000000000006,B,3,544.0
875,1.0,129.3,0.4100000000000006,B,4,540.0
875,1.0,129.3,0.4100000000000006,B,5,490.0
875,1.0,129.3,0.4100000000000006,C,1,599.0
875,1.0,129.3,0.4100000000000006,C,2,614.0
875,1.0,129.3,0.4100000000000006,C,3,619.0
875,1.0,129.3,0.4100000000000006,C,4,617.0
875,1.0,129.3,0.4100000000000006,C,5,622.0
895,1.0,121.1,0.41799999999999926,A,1,205.0
895,1.0,121.1,0.41799999999999926,A,2,208.0
895,1.0,121.1,0.41799999999999926,A,3,214.0
895,1.0,121.1,0.41799999999999926,A,4,213.0
895,1.0,121.1,0.41799999999999926,A,5,211.0
895,1.0,121.1,0.41799999999999926,B,1,237.0
895,1.0,121.1,0.41799999999999926,B,2,233.0
895,1.0,121.1,0.41799999999999926,B,3,238.0
895,1.0,121.1,0.41799999999999926,B,4,232.0
895,1.0,121.1,0.41799999999999926,B,5,248.0
895,1.0,121.1,0.41799999999999926,C,1,295.0
895,1.0,121.1,0.41799999999999926,C,2,296.0
895,1.0,121.1,0.41799999999999926,C,3,324.0
895,1.0,121.1,0.41799999999999926,C,4,297.0
895,1.0,121.1,0.41799999999999926,C,5,330.0
