V_sensor (mV),T (K),u(T) (K),Canal,N,Promedio (mV),s (mV),u_promedio (mV),u_inst (mV),u_total (mV)
825,149.6,0.4,A,5,626.8,9.731392500562292,4.352011029397788,1.0,4.465422712353221
825,149.6,0.4,B,5,632.8,14.446452851824905,6.460650122085236,1.0,6.53758365147246
825,149.6,0.4,C,5,627.8,6.610597552415364,2.9563490998188966,1.0,3.120897306865447
835,145.6,0.40000000000000036,A,5,126.8,16.66433316997713,7.4525163535546834,1.0,7.5193084788429845
835,145.6,0.40000000000000036,B,5,484.8,9.654014708917735,4.31740662898458,1.0,4.431703961232067
835,145.6,0.40000000000000036,C,5,608.4,23.617789905069444,10.562196741208716,1.0,10.609429767899876
845,141.6,0.40500000000000025,A,5,609.8,7.981227975693966,3.5693136595149495,1.0,3.7067505985701277
845,141.6,0.40500000000000025,B,5,628.8,7.918333157931662,3.5411862419251547,1.0,3.67967389859482
845,141.6,0.40500000000000025,C,5,637.0,3.24037034920393,1.4491376746189437,1.0,1.7606816861659007
855,137.5,0.40999999999999925,A,5,418.8,3.1144823004794873,1.3928388277184118,1.0,1.7146428199482244
855,137.5,0.40999999999999925,B,5,557.0,16.73320053068151,7.483314773547883,1.0,7.54983443527075
855,137.5,0.40999999999999925,C,5,636.4,3.9115214431215892,1.74928556845359,1.0,2.014944167960988
865,133.4,0.40999999999999925,A,5,363.0,11.895377253370318,5.319774431308154,1.0,5.412947441089743
865,133.4,0.40999999999999925,B,5,502.4,9.555103348473002,4.273172123844299,1.0,4.388621651498338
865,133.4,0.40999999999999925,C,5,543.2,11.627553482998906,5.199999999999999,1.0,5.29528091794949
875,129.3,0.4100000000000006,A,5,276.4,18.091434437324203,8.090735442467516,1.0,8.152300288875528
875,129.3,0.4100000000000006,B,5,534.2,25.262620608321697,11.297787393998881,1.0,11.341957503006261
875,129.3,0.4100000000000006,C,5,614.2,8.983317872590282,4.017461885320133,1.0,4.14004830889689
895,121.1,0.41799999999999926,A,5,210.2,3.7013511046643495,1.6552945357246849,1.0,1.9339079605813716
895,121.1,0.41799999999999926,B,5,237.6,6.348228099241551,2.8390139133156778,1.0,3.009983388658482
895,121.1,0.41799999999999926,C,5,308.4,17.12600362022617,7.658981655546642,1.0,7.723988606931005
900,119.0,0.4206666666666655,A,4,290.5,23.230726778701236,11.615363389350618,1.0,11.658330355015108
900,119.0,0.4206666666666655,B,5,439.4,7.092249290598858,3.171750305430741,1.0,3.325657829663178
900,119.0,0.4206666666666655,C,5,579.8,17.03525755602186,7.618398781896362,1.0,7.683749084919416
945,99.8,0.44575757575757535,A,5,77.41999999999999,6.113673200294567,2.7341177736154676,0.1,2.735945905897995
945,99.8,0.44575757575757535,B,5,115.78,4.328625647939542,1.9358202395883775,1.0,2.178852909216224
945,99.8,0.44575757575757535,C,5,142.6,7.976214641043713,3.567071628100565,1.0,3.7045917453884196
955,95.3,0.44305555555555465,A,5,11.26,0.461519230368573,0.2063976744055029,0.1,0.2293468988235943
955,95.3,0.44305555555555465,B,5,16.68,1.1410521460476732,0.5102940328869231,0.1,0.5200000000000001
955,95.3,0.44305555555555465,C,5,31.4,0.5099019513592784,0.22803508501982755,0.1,0.24899799195977462
963,91.8,0.4375,A,5,11.32,0.13038404810405332,0.05830951894845316,0.1,0.11575836902790233
963,91.8,0.4375,B,5,14.040000000000001,1.1458621208504975,0.5124451190127584,0.1,0.5221110992882646
963,91.8,0.4375,C,5,29.22,0.7362064927722382,0.3292415526630864,0.1,0.3440930106817049
