V_sensor (mV),T (K),u(T) (K),Vcorr_10k (V),u(Vcorr_10k) (V),Vcorr_100k (V),u(Vcorr_100k) (V)
825,149.6,0.4,0.006,0.007917070165155794,0.001,0.005447935388750495
835,145.6,0.40000000000000036,0.358,0.008728115489611717,0.4816,0.013003845585056753
845,141.6,0.40500000000000025,0.019,0.005223025942880238,0.027200000000000047,0.004103656905736638
855,137.5,0.40999999999999925,0.1382,0.007742092740338364,0.21759999999999996,0.0026457513110645903
865,133.4,0.40999999999999925,0.13939999999999997,0.006968500556073738,0.18020000000000005,0.007572318007057019
875,129.3,0.4100000000000006,0.2578000000000001,0.01396782015920881,0.33780000000000004,0.00914330356052997
895,121.1,0.41799999999999926,0.027400000000000004,0.0035777087639996628,0.09819999999999998,0.007962411694957752
900,119.0,0.4206666666666655,0.14889999999999998,0.012123393364345921,0.28929999999999995,0.013962688375333265
945,99.8,0.44575757575757535,0.03836000000000001,0.0034975419940295217,0.06518,0.004605366434932189
955,95.3,0.44305555555555465,0.00542,0.000568330889535313,0.02014,0.0003385262175962151
963,91.8,0.4375,0.0027200000000000006,0.0005347896782848376,0.0179,0.0003630426972134268
